"","sp","lon","lat","sol","PNZ1"
"466","Zea mays",-81.980232,8.258527,8,2448
"467","Zea mays",-82.000377,8.31586,8,2448
"468","Zea mays",-89.583333,14.616667,9,4212
"469","Zea mays",-89.624187,14.61198,9,4212
"470","Zea mays",-102.4833333,20.01666667,2,4972
"471","Zea mays",-102.666996,20.112922,9,2827
"472","Zea mays",-84.640069,10.583915,5,4896
"473","Zea mays",-69.691145,10.568005,8,1439
"474","Zea mays",-93.176559,16.782368,9,4182
"475","Zea mays",-104.449948,21.110878,11,2540
"476","Zea mays",-64.432761,-18.046032,8,2977
"477","Zea mays",-38.35,-11.36666667,6,4638
"478","Zea mays",-92.73333333,15.86666667,8,3616
"479","Zea mays",-93.89,16.23,11,2696
"480","Zea mays",-98.78333333,18.88333333,2,5391
"481","Zea mays",-92.1,15.7,8,3518
"482","Zea mays",-100.21527,22.031961,9,1939
"483","Zea mays",-99.88277778,21.71083333,9,3072
"484","Zea mays",-84.478463,10.365506,5,2884
"485","Zea mays",-99.883528,21.71058,9,3072
"486","Zea mays",-99.9072222,21.7722222,9,3072
"487","Zea mays",-99.9322222,21.79805556,9,3072
"488","Zea mays",-99,23.91666667,8,3075
"489","Zea mays",-38.18333333,-10.7,11,991
"490","Zea mays",-38.18333333,-10.7,11,991
"491","Zea mays",-38.18333333,-10.7,11,991
"492","Zea mays",-102.95,20.78333333,9,2827
"493","Zea mays",-93.38333333,16.76666667,9,4182
"494","Zea mays",-92.1,15.7,8,3518
"495","Zea mays",-92.1,15.7,8,3518
"496","Zea mays",-92.1,15.7,8,3518
"497","Zea mays",-92.1,15.7,8,3518
"498","Zea mays",-92.1,15.7,8,3518
"499","Zea mays",-92.05,16.11666667,8,4043
"500","Zea mays",-92.711648,16.602202,9,3168
"501","Zea mays",-92.05,16.11666667,8,4043
"502","Zea mays",-100.265107,22.333956,9,1939
"503","Zea mays",-99.836545,21.635442,9,3072
"504","Zea mays",-56.408868,-25.453824,5,2990
"505","Zea mays",-57.558546,-25.333228,5,2990
"506","Zea mays",-54.166667,-29.333333,4,5928
"507","Zea mays",-54.166667,-29.333333,4,5928
"508","Zea mays",-54.828953,-22.200732,1,5095
"509","Zea mays",-54.8,-22.21666667,1,5095
"510","Zea mays",-56.634113,-34.644305,9,2894
"511","Zea mays",-84.952374,10.432058,9,3001
"512","Zea mays",-51.866667,-23.916667,2,5304
"513","Zea mays",-56.341191,-25.620658,5,2990
"514","Zea mays",-54.828953,-22.200732,1,5095
"515","Zea mays",-51.866667,-23.916667,2,5304
"516","Zea mays",-51.866667,-23.916667,2,5304
"517","Zea mays",-51.483333,-23.55,2,5304
"518","Zea mays",-51.483333,-23.55,2,5304
"519","Zea mays",-84.943094,10.49901,9,7523
"520","Zea mays",-51.866667,-23.916667,2,5304
"521","Zea mays",-38.693975,-3.81233,5,3073
"522","Zea mays",-38.693975,-3.81233,5,3073
"523","Zea mays",-38.693975,-3.81233,5,3073
"524","Zea mays",-39.71666667,-5.45,8,2977
"525","Zea mays",-85.473735,10.065598,8,3929
"526","Zea mays",-83.335913,9.154099,6,2884
"527","Zea mays",-97.13,20.55,9,2822
"528","Zea mays",-97.181289,20.566064,9,2822
"529","Zea mays",-97.762003,20.910099,9,3820
"530","Zea mays",-97.71666667,21.35,9,3922
"531","Zea mays",-84.483438,10.403208,5,4896
"532","Zea mays",-82.815169,8.469841,2,4858
"533","Zea mays",-57.024295,-26.864407,5,2990
"534","Zea mays",-36.5,-8.883333333,9,4139
"535","Zea mays",-51.86666667,-23.91666667,2,5304
"536","Zea mays",-50.202062,-22.437175,1,4609
"537","Zea mays",-56.321956,-25.611328,5,2990
"538","Zea mays",-83.33333333,9.15,5,2884
"539","Zea mays",-52.15,-25.966667,1,5304
"540","Zea mays",-52.15,-25.966667,1,5304
"541","Zea mays",-35.788568,-8.215027,9,2918
"542","Zea mays",-52.38333333,-31.75,12,2739
"543","Zea mays",-46.63333333,-21.55,3,4221
"544","Zea mays",-49.15,-20.96666667,8,1404
"545","Zea mays",-48.3,-24,1,5304
"546","Zea mays",-82.907759,8.820336,2,3961
"547","Zea mays",-49.83333333,-22.96666667,2,5304
"548","Zea mays",-54.3,-27.616667,11,3768
"549","Zea mays",-54.724175,-28.169642,2,5304
"550","Zea mays",-54.02485,-27.899063,11,3768
